Lat,Lon,Time Range,mmsi,Apparent Fishing Hours
-4.06,110.49,2024-04-16 20:00,525900411.0,0.3
-4.06,110.49,2024-04-16 18:00,525900411.0,0.0
-7.93,101.27,2024-04-16 16:00,525900774.0,1.13
-8.59,109.07,2024-04-16 22:00,525621000.0,2.83
-0.59,117.36,2024-04-16 04:00,0.0,1.02
-0.28,117.59,2024-04-16 06:00,0.0,1.13
-0.28,117.6,2024-04-16 10:00,0.0,0.8
-0.31,117.66,2024-04-16 17:00,0.0,1.01
-0.31,117.66,2024-04-16 04:00,0.0,0.21
-0.31,117.66,2024-04-16 19:00,0.0,0.12
-1.3,117.01,2024-04-16 04:00,0.0,0.79
-1.3,117.03,2024-04-16 15:00,0.0,0.87
-1.33,116.97,2024-04-16 10:00,0.0,1.42
-1.33,116.97,2024-04-16 05:00,0.0,0.23
-1.33,116.97,2024-04-16 15:00,0.0,0.62
-1.34,116.97,2024-04-16 05:00,525700561.0,0.33
-1.34,116.98,2024-04-16 14:00,0.0,1.04
-0.87,117.58,2024-04-16 09:00,0.0,0.95
-0.86,117.65,2024-04-16 04:00,0.0,16.12
-3.3,116.04,2024-04-16 08:00,0.0,1.38
-3.3,116.04,2024-04-16 07:00,0.0,0.47
-3.31,116.05,2024-04-16 09:00,0.0,1.02
-3.28,116.14,2024-04-16 12:00,0.0,2.34
-4.18,115.76,2024-04-16 14:00,525700736.0,2.15
-4.18,115.76,2024-04-16 16:00,525700736.0,0.95
-4.18,115.76,2024-04-16 15:00,525700736.0,0.9
-2.81,122.17,2024-04-16 09:00,0.0,0.99
-2.86,122.25,2024-04-16 07:00,0.0,1.04
-6.29,113.56,2024-04-16 11:00,0.0,0.26
-6.28,113.68,2024-04-16 13:00,0.0,1.01
-6.93,112.73,2024-04-16 04:00,525100624.0,0.05
-7.11,112.66,2024-04-16 18:00,0.0,1.05
-7.11,112.66,2024-04-16 17:00,0.0,1.0
-7.11,112.66,2024-04-16 19:00,0.0,0.95
-7.11,112.66,2024-04-16 21:00,0.0,1.05
-10.26,115.2,2024-04-16 14:00,0.0,4.1
-10.27,115.21,2024-04-16 19:00,0.0,5.2
-10.34,115.1,2024-04-16 08:00,525700929.0,0.25
-10.74,113.98,2024-04-16 10:00,0.0,6.74
-10.72,116.08,2024-04-16 10:00,525800214.0,0.82
-10.71,116.08,2024-04-16 13:00,525800214.0,0.55
-10.7,118.33,2024-04-17 00:00,0.0,1.25
-10.7,118.33,2024-04-16 23:00,0.0,0.0
-2.33,132.98,2024-04-16 04:00,0.0,0.35
-2.34,132.99,2024-04-16 06:00,0.0,0.25
-4.72,133.29,2024-04-16 00:00,525600210.0,1.8
-4.78,133.53,2024-04-16 12:00,525600210.0,3.61
-4.65,133.61,2024-04-17 00:00,525600210.0,0.74
-4.9,133.63,2024-04-16 20:00,525600210.0,3.17
-4.81,133.8,2024-04-16 17:00,525600214.0,7.12
-6.64,133.51,2024-04-16 00:00,525500988.0,18.48
-6.68,133.59,2024-04-16 00:00,0.0,1.84
-6.66,133.65,2024-04-16 17:00,0.0,0.64
-6.65,133.65,2024-04-16 16:00,0.0,3.97
-6.72,133.65,2024-04-16 19:00,0.0,2.54
-6.83,133.74,2024-04-17 00:00,525600620.0,1.92
-6.75,133.8,2024-04-16 20:00,525600620.0,3.63
-7.19,133.39,2024-04-16 10:00,525611230.0,7.65
-7.2,133.39,2024-04-16 13:00,525611230.0,3.6
-7.85,133.55,2024-04-16 18:00,525600489.0,7.78
-8.11,133.35,2024-04-17 00:00,0.0,0.6
-8.19,133.4,2024-04-16 08:00,0.0,4.54
-8.17,133.4,2024-04-16 21:00,0.0,1.55
-8.23,133.44,2024-04-16 20:00,0.0,3.17
-8.22,133.5,2024-04-16 23:00,0.0,1.37
-8.19,133.55,2024-04-16 04:00,0.0,1.96
-8.18,133.52,2024-04-16 00:00,525600489.0,2.48
-8.25,133.58,2024-04-16 12:00,0.0,10.01
-8.25,133.55,2024-04-16 20:00,0.0,2.58
-8.28,133.55,2024-04-17 00:00,0.0,4.1
-8.32,133.52,2024-04-16 00:00,525600022.0,0.65
-8.32,133.53,2024-04-16 02:00,525600022.0,1.78
-8.33,133.57,2024-04-16 04:00,525600022.0,1.1
-8.33,133.56,2024-04-16 03:00,525600022.0,1.55
-7.79,133.65,2024-04-16 17:00,525500943.0,5.42
-7.73,134.1,2024-04-16 00:00,0.0,4.57
-8.01,134.02,2024-04-16 23:00,0.0,14.12
-8.28,133.63,2024-04-16 02:00,0.0,17.72
-8.3,133.61,2024-04-16 11:00,0.0,3.15
-8.25,133.61,2024-04-16 20:00,0.0,11.8
-8.33,133.62,2024-04-16 16:00,525600022.0,2.86
