Lat,Lon,Time Range,mmsi,Apparent Fishing Hours
0.27,140.24,2024-02-26 11:00,0.0,0.53
0.15,140.05,2024-02-21 20:00,0.0,3.21
0.15,140.07,2024-02-21 16:00,0.0,0.79
0.16,140.08,2024-02-21 14:00,0.0,0.88
0.15,140.07,2024-02-21 15:00,0.0,1.78
0.16,140.08,2024-02-21 13:00,0.0,1.5
0.16,140.08,2024-02-21 11:00,0.0,1.6
0.17,140.09,2024-02-21 10:00,0.0,1.44
0.06,140.31,2024-02-16 12:00,0.0,2.89
0.06,140.31,2024-02-16 15:00,0.0,0.53
0.06,140.3,2024-02-16 17:00,0.0,2.14
0.05,140.3,2024-02-16 19:00,0.0,2.19
0.05,140.31,2024-02-16 14:00,0.0,2.2
0.69,140.64,2024-02-24 08:00,525301843.0,20.28
0.69,140.63,2024-02-24 11:00,525301843.0,3.78
0.56,140.65,2024-02-25 20:00,525301843.0,1.07
0.54,140.68,2024-02-25 11:00,525301843.0,0.71
0.55,140.68,2024-02-25 19:00,525301843.0,8.34
0.55,140.7,2024-02-25 01:00,525301843.0,0.53
0.54,140.69,2024-02-25 10:00,525301843.0,4.14
0.56,140.68,2024-02-25 00:00,525301843.0,0.97
-9.62,136.93,2024-02-17 05:00,0.0,3.61
-9.64,136.92,2024-02-17 06:00,0.0,0.98
-9.43,136.55,2024-02-18 07:00,0.0,1.03
-9.65,137.01,2024-02-17 08:00,0.0,0.9
-9.46,136.57,2024-02-18 06:00,0.0,5.1
-9.59,137.09,2024-02-17 00:00,0.0,0.0
-7.26,133.48,2024-02-27 20:00,0.0,1.03
-9.65,137.0,2024-02-17 13:00,0.0,4.74
-7.3,133.6,2024-02-27 18:00,0.0,0.0
-7.25,133.47,2024-02-27 21:00,0.0,0.29
-9.62,136.98,2024-02-17 02:00,0.0,1.72
-9.42,136.66,2024-02-18 13:00,0.0,5.17
-7.28,133.54,2024-02-27 19:00,0.0,1.03
-9.65,136.98,2024-02-17 07:00,0.0,0.93
-8.26,107.81,2024-02-24 14:00,0.0,6.49
-8.18,107.82,2024-02-22 18:00,0.0,5.86
-8.01,107.64,2024-02-20 20:00,0.0,6.01
-8.18,107.91,2024-02-20 14:00,0.0,0.2
-8.38,107.96,2024-02-21 16:00,0.0,1.23
-8.46,107.2,2024-02-16 01:00,0.0,0.92
-8.26,107.37,2024-02-28 01:00,0.0,22.93
-8.2,107.91,2024-02-20 13:00,0.0,1.15
-8.26,107.82,2024-02-21 20:00,0.0,3.98
-7.91,107.53,2024-02-19 17:00,0.0,3.78
-8.3,108.12,2024-02-22 06:00,0.0,0.69
-8.08,107.41,2024-02-25 18:00,0.0,1.78
-8.26,107.88,2024-02-21 02:00,0.0,3.9
-8.23,107.43,2024-02-25 22:00,0.0,4.12
-8.14,107.63,2024-02-20 21:00,0.0,1.75
-8.26,107.39,2024-02-26 21:00,0.0,6.46
-8.27,107.75,2024-02-21 21:00,0.0,0.97
-8.1,107.38,2024-02-25 05:00,0.0,13.24
